,"Week of the month (first week, second, third, fourth or fifth week",Day of the week (Monday to Friday),Non-urgent order,Urgent order,Fiscal sector orders,Orders from the traffic controller sector,Target (Total orders)
0,1,4,316.307,223.27,0,65556,539.577
1,1,5,128.633,96.042,0,40419,224.675
2,1,6,43.651,84.375,1.386,11992,129.412
3,2,2,171.297,127.667,18.156,4997,317.12
4,2,3,90.532,113.526,6.459,48534,210.517
5,2,4,110.925,96.36,79,52042,207.364
6,2,5,144.124,118.919,0,46573,263.043
7,2,6,119.379,113.87,15.709,35033,248.958
8,3,2,218.856,124.381,1.054,66612,344.291
9,3,3,146.518,101.045,865,58224,248.428
10,3,4,178.433,102.793,194,47046,281.42
11,3,5,145.865,91.18,6.523,66910,243.568
12,3,6,170.566,114.412,23.2,32529,308.178
13,4,2,220.343,141.406,1.653,34878,363.402
14,4,3,193.768,141.854,1.25,57858,336.872
15,4,4,122.736,124.256,0,52321,246.992
16,4,5,144.051,158.408,6.421,47167,308.88
17,4,6,105.415,108.688,19.023,42737,233.126
18,5,2,240.66,163.72,0,39273,404.38
19,1,3,131.067,166.649,844,60543,298.56
20,1,4,130.129,98.927,193,54760,229.249
21,1,5,123.286,103.551,9.467,48732,236.304
22,1,6,190.816,87.629,18.729,46368,297.174
23,2,2,266.741,141.437,1.223,58081,409.401
24,2,3,123.143,106.083,1.809,45340,231.035
25,2,4,148.139,85.31,5.377,59686,238.826
26,2,5,118.552,100.417,16.629,40423,235.598
27,2,6,146.959,95.153,0,50908,242.112
28,3,2,299.77,133.375,57.645,71772,490.79
29,3,3,151.341,131.788,6.528,53573,289.657
30,3,4,206.206,92.16,93,49110,298.459
31,3,5,170.868,131.463,21.272,42534,323.603
32,4,3,435.304,181.149,0,64867,616.453
33,4,4,235.106,110.874,55,23257,346.035
34,4,5,168.179,125.119,14.347,28072,307.645
35,4,6,172.783,77.371,3.693,46321,253.847
36,5,2,381.768,140.041,9.135,34236,530.944
37,5,3,221.438,111.392,529,39964,333.359
38,5,4,193.957,111.859,540,59179,306.356
39,1,6,275.076,121.697,20.057,37906,416.83
40,2,2,252.298,150.708,12.181,32133,415.187
41,2,3,165.472,102.53,0,48458,268.002
42,2,4,126.03,108.055,418,42201,234.503
43,2,5,112.246,106.641,15.837,35316,234.724
44,2,6,123.302,94.315,12.447,43284,230.064
45,3,2,187.81,167.455,2.129,37817,357.394
46,3,3,119.863,139.383,0,54584,259.246
47,3,4,127.805,114.813,1.617,33366,244.235
48,3,5,120.629,112.703,169.275,37387,402.607
49,3,6,130.465,105.273,19.323,27200,255.061
50,4,2,222.282,120.324,0,39446,342.606
51,4,3,150.257,116.959,1.424,51346,268.64
52,4,4,96.494,87.294,4.813,34631,188.601
53,4,5,89.526,99.756,12.74,31850,202.022
54,4,6,134.425,79.084,0,33970,213.509
55,5,2,158.716,158.133,0,32027,316.849
56,5,3,150.784,133.069,2.559,51235,286.412
57,5,4,193.534,109.639,274,28364,303.447
58,5,5,196.555,108.395,0,37011,304.95
59,5,6,192.116,121.106,18.678,27328,331.9
